"id","education","experience","major","gender","country","salary"
111,"PhD",5,"Others","Man","USA","$80k - $100k"
112,"Bachelors",1,"Others","Man","India","$20k - $40k"
113,"Masters",10,"Others","Man","USA","$120k - $140k"
114,"Bachelors",6,"Others","Man","USA","$60k - $80k"
115,"PhD",12,"Others","Man","Others","$100k - $120k"
116,"PhD",0,"Others","Man","USA","$120k - $140k"
117,"Bachelors",1,"Others","Man","India","Less than $20,000"
118,"PhD",15,"Others","Man","United Kingdom","$100k - $120k"
119,"Masters",10,"Others","Man","USA","$180k - $200k"
120,"Bachelors",6,"Others","Man","United Kingdom","$40k - $60k"
121,"Bachelors",6,"Industrial Design","Man","Brazil","$80k - $100k"
122,"Bachelors",7,"Others","Man","Italy","$20k - $40k"
123,"Bachelors",5,"Illustration","Man","Others","$120k - $140k"
124,"Masters",6,"Others","Man","France","$20k - $40k"
125,"Bachelors",17,"Economics","Man","USA","$200k+"
126,"Masters",2,"Others","Man","Argentina","Less than $20,000"
127,"Others",3,"Others","Man","United Kingdom","$60k - $80k"
128,"Masters",3,"Others","Man","United Kingdom","$100k - $120k"
129,"Masters",2,"Others","Man","USA","$100k - $120k"
130,"Masters",3,"English","Man","United Kingdom","$60k - $80k"
131,"Bachelors",2,"Others","Man","USA","$40k - $60k"
132,"Others",2,"Others","Man","United Kingdom","Less than $20,000"
133,"Masters",1,"Mathematics","Man","USA","$60k - $80k"
134,"Others",7,"Others","Man","USA","$140k - $160k"
135,"Others",2,"Others","Man","Mexico","Less than $20,000"
136,"Bachelors",2,"Others","Man","USA","$40k - $60k"
137,"Bachelors",2,"Others","Man","USA","$60k - $80k"
138,"Bachelors",2,"Economics","Man","Others","$20k - $40k"
139,"Bachelors",2,"Others","Man","USA","$40k - $60k"
140,"Bachelors",5,"Political science","Man","USA","$60k - $80k"
141,"Bachelors",2,"Others","Man","USA","$80k - $100k"
142,"Masters",3,"Others","Man","Canada","$40k - $60k"
143,"Masters",3,"Others","Man","Spain","$40k - $60k"
144,"Others",2,"Others","Man","United Kingdom","$40k - $60k"
145,"Masters",0,"Others","Man","India","$40k - $60k"
146,"Masters",5,"English","Man","USA","$80k - $100k"
147,"Masters",0,"Others","Man","USA","$40k - $60k"
148,"Others",2,"Others","Man","USA","$40k - $60k"
149,"PhD",0,"Engineering","Man","USA","$120k - $140k"
150,"Bachelors",10,"Others","Man","Canada","$100k - $120k"
151,"Masters",10,"Economics","Man","USA","$100k - $120k"
152,"Bachelors",4,"Others","Man","USA","$60k - $80k"
153,"Bachelors",10,"Others","Man","Others","$60k - $80k"
154,"Bachelors",20,"Others","Man","Canada","$100k - $120k"
