"id","What technologies do you use to visualize data? Select all that apply._01","What technologies do you use to visualize data? Select all that apply._02","What technologies do you use to visualize data? Select all that apply._03","What technologies do you use to visualize data? Select all that apply._04","What technologies do you use to visualize data? Select all that apply._05","What technologies do you use to visualize data? Select all that apply._06","What technologies do you use to visualize data? Select all that apply._07","What technologies do you use to visualize data? Select all that apply._08","What technologies do you use to visualize data? Select all that apply._09","What technologies do you use to visualize data? Select all that apply._10","What technologies do you use to visualize data? Select all that apply._11","What technologies do you use to visualize data? Select all that apply._12","What technologies do you use to visualize data? Select all that apply._13","What technologies do you use to visualize data? Select all that apply._14","What technologies do you use to visualize data? Select all that apply._15","What technologies do you use to visualize data? Select all that apply._16","What technologies do you use to visualize data? Select all that apply._17","What technologies do you use to visualize data? Select all that apply._18","What technologies do you use to visualize data? Select all that apply._19","What technologies do you use to visualize data? Select all that apply._20"
165,"ArcGIS","Excel","Gephi","Leaflet","Mapbox","Plotly","Python","QGIS","Tableau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
166,"Cytoscape","Excel","Gephi","Illustrator","Mapbox","kepler.gl","Python","QGIS","Tableau","Vega","WebGL","Pen & Paper","Canvas","Raw Graphs","Flourish","Infogram",NA,NA,NA,NA
167,"D3","Excel","Python","QGIS","Matplotlib",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
168,"D3","ggplot2","Illustrator","QGIS","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
169,"D3","Excel","ggplot2","Leaflet","Plotly","Power BI","R","React","Web Components","Other physical materials",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
170,"Cytoscape","D3","ggplot2","Python","R","React","Vega","Looker","Semiotic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
171,"D3","Mapbox","kepler.gl","Qlik","R","React","Semiotic","Web Components","WebGL","Pen & Paper","Other physical materials","Greensock","Canvas",NA,NA,NA,NA,NA,NA,NA
172,"D3","Plotly","Python","Tableau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
173,"Plotly","Python",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
174,"Power BI","Python","Matplotlib",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
175,"D3","Excel","ggplot2","Illustrator","Leaflet","Python","R","Tableau","Matplotlib",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
176,"D3","Excel","ggplot2","Leaflet","Power BI","Python","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
177,"D3","Excel","ggplot2","Python","Metabase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
178,"D3","Excel","ggplot2","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
179,"D3","Excel","Power BI","Python",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
180,"D3","Gephi","Leaflet","kepler.gl","Python","Tableau","WebGL","Canvas","P5/Processing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
181,"D3","ggplot2","Leaflet","Plotly","Python","R","Vega",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
182,"D3","ggplot2","Plotly","Python","R","matplotlib","seaborn","grid","lattice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
183,"D3","ggplot2","Plotly","Python","R","Tableau","Pen & Paper","Matplotlib","Holoviews",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
184,"D3","ggplot2","Plotly","Python","R","Vue","Pen & Paper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
185,"D3","ggplot2","Python","R","Pen & Paper","Matplotlib",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
186,"D3","Highcharts","Leaflet","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
187,"D3","Leaflet","Python","QGIS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
188,"D3","Plotly","Power BI","Python","Pen & Paper","Matplotlib",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
189,"D3","Python","Tableau","Vue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
190,"Excel","ggplot2","Gephi","Plotly","Power BI","Python","Matplotlib",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
191,"Excel","ggplot2","Leaflet","Python","QGIS","R","Tableau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
192,"Gephi","Python","Tableau","Matplotlib","Seaborn","Yellowbrick",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
193,"ggplot2","Gephi","Plotly","Tableau","Pen & Paper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
194,"ggplot2","Gephi","R","Vega",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
195,"ggplot2","Highcharts","Leaflet","Plotly","Processing","R","Vega","P5/Processing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
196,"ggplot2","Highcharts","Leaflet","Plotly","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
197,"ggplot2","Leaflet","Plotly","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
198,"ggplot2","Plotly","Python","R","Matplotlib",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
199,"ggplot2","Plotly","Python","R","Matplotlib","altair (python)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,"ggplot2","Plotly","R","Tableau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201,"ggplot2","Tableau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
202,"Plotly","Python","Vega","Matplotlib","Seaborn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
203,"Python",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
204,"Python","Matplotlib",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
205,"Python","Tableau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
206,"Tableau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
207,"Tableau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
208,"D3","Angular","Highcharts","Illustrator","Plotly","Python","Vega",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
209,"Excel","Power BI","Pen & Paper","Metabase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
210,"ArcGIS","D3","Excel","Gephi","Illustrator","Mapbox","QGIS","Tableau","Pen & Paper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
211,"Excel","ggplot2","R","Tableau","RAW","Charticulator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
212,"D3","Excel","Illustrator","Python","React","Greensock","Matplotlib",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
213,"D3","Excel","Illustrator","Mapbox","QGIS","Pen & Paper","P5/Processing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
214,"D3","React",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
215,"Tableau","Pen & Paper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
216,"D3","Excel","Illustrator","Python",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
217,"D3","Excel","Leaflet","Mapbox","QGIS","R","WebGL","Pen & Paper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
218,"D3","Excel","Illustrator","Power BI","Tableau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
219,"D3","Excel","Tableau","Vega","Vue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220,"Plotly","Python",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
221,"D3","Excel","Illustrator","React",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
222,"D3","Illustrator","QGIS","React","Pen & Paper","Canvas","P5/Processing","Nodebox",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
223,"D3","Highcharts","Illustrator","Mapbox","Processing","Python","WebGL","Canvas","P5/Processing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
224,"Cytoscape","D3","Angular","React","Pen & Paper","iPad",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
225,"D3","Excel","ggplot2","Highcharts","Illustrator","Processing","Python","R","Vue","WebGL","P5/Processing","pixi.js",NA,NA,NA,NA,NA,NA,NA,NA
226,"D3","Mapbox","React","Pen & Paper","Arcadia Data","Turf.js",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
227,"D3","React","Tableau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
228,"Tableau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
229,"ArcGIS","D3","Excel","Illustrator","Leaflet","Python","QGIS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
230,"Excel","ggplot2","Illustrator","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
231,"D3","Illustrator","React","Pen & Paper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
232,"D3","Excel","Highcharts","Tableau","Vue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
233,"ggplot2","Leaflet","R","Tableau","Pen & Paper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
234,"Mapbox","QGIS","Tableau","Pen & Paper","Alteryx",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
235,"Power BI","Qlik","R","Tableau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
236,"Illustrator","Processing","Tableau","WebGL","Pen & Paper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
237,"D3","Illustrator","Leaflet","Mapbox","React","WebGL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
238,"D3","Gephi","Mapbox","Python","React","Tableau","Vega","Other physical materials",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
239,"Excel","Power BI","Salesforce",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
240,"Excel","ggplot2","Mapbox","Python","R","Tableau","Pen & Paper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
241,"D3","Illustrator","QGIS","Flourish","amCharts","Raw",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
242,"Power BI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
243,"Illustrator","Tableau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
244,"D3","Excel","ggplot2","Python","R","Tableau","Pen & Paper","Other physical materials",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
245,"Excel","Tableau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,"Excel","Illustrator","Pen & Paper","Other physical materials",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
247,"D3","Illustrator","Mapbox","Processing","Greensock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
248,"D3","Excel","Processing","Python","Google Sheets",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
249,"D3","Excel","Python","QGIS","React","Pen & Paper","Canvas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
250,"Python","Matplotlib",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
251,"ggplot2","Illustrator","R","Tableau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
252,"ArcGIS","D3","Excel","ggplot2","Illustrator","Power BI","Python","R","WebGL","Pen & Paper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
253,"D3","Illustrator","Mapbox","Python","QGIS","Tableau","Pen & Paper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
254,"Excel","Illustrator","Power BI","Pen & Paper","Igor Pro from Wavemetrics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
255,"ArcGIS","Excel","Qlik",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
256,"Excel","Tableau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
257,"Qlik","Tableau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,"Cytoscape","D3","ggplot2","Gephi","Illustrator","Leaflet","Mapbox","Python","R","React","Vue","Pen & Paper","P5/Processing",NA,NA,NA,NA,NA,NA,NA
259,"Excel","Illustrator","Pen & Paper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
260,"Excel","ggplot2","R","Tableau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
261,"Excel","ggplot2","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
262,"Excel","R","Tableau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
263,"ArcGIS","D3","Excel","Illustrator","Mapbox","Plotly","Processing","Python","R","React","WebGL","P5/Processing","Matplotlib",NA,NA,NA,NA,NA,NA,NA
264,"Excel","Tableau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
265,"Excel","ggplot2","Plotly","Processing","Python","R","Tableau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
266,"ggplot2","Python","R","Tableau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
267,"D3","Excel","ggplot2","Illustrator","Plotly","Python","React","Canvas","Matplotlib",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
268,"D3","Python","Tableau","Web Components","Pen & Paper","Other physical materials",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
269,"D3","ggplot2","Leaflet","R","Vue","Canvas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
270,"Excel","ggplot2","Illustrator","Mapbox","Plotly","R","Tableau","Web Components",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
271,"Excel","Gephi","Power BI","QGIS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
272,"ggplot2","Java","R","Tableau","Pen & Paper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
273,"Excel","ggplot2","Illustrator","QGIS","R","Tableau","Web Components",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
274,"D3","Mapbox","kepler.gl","QGIS","Tableau","WebGL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
275,"Excel","Illustrator","Tableau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
276,"Excel","Python","Vue","Pen & Paper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
277,"Excel","Power BI","Pen & Paper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
278,"D3","Python",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
279,"ggplot2","R","Tableau","SAS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
280,"ArcGIS","Excel","Python","Tableau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
281,"Excel","Power BI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
282,"D3","Excel","ggplot2","Illustrator","Mapbox","Plotly","Power BI","Python","Qlik","R","React","Tableau","WebGL","Greensock","Canvas",NA,NA,NA,NA,NA
283,"Excel","Tableau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
284,"Excel","Tableau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
285,"Excel","ggplot2","Highcharts","Plotly","Python","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
286,"Excel","Power BI","Tableau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
287,"D3","Angular","Excel","Pen & Paper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
288,"D3","Excel","Highcharts","R","Web Components","Pen & Paper","Canvas","SVG","Smalltalk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
289,"D3","Angular","Excel","Illustrator","QGIS","Vue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
290,"D3","ggplot2","Illustrator","kepler.gl","QGIS","R","React","WebGL","Pen & Paper","Canvas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
291,"D3","Python","QGIS","Tableau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
292,"D3","Angular","Highcharts","Leaflet","React","Web Components","Knowage",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
293,"D3","Angular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
294,"D3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
295,"D3","Python","React",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
296,"D3","React",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
297,"ArcGIS","Leaflet","Mapbox","kepler.gl","Power BI","Python","QGIS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
298,"ArcGIS","Excel","Illustrator","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
299,"ArcGIS","Excel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
300,"ArcGIS","Excel","ggplot2","Leaflet","QGIS","R","Pen & Paper","Figma",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
301,"Excel","ggplot2","Leaflet","Plotly","Python","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
302,"ggplot2","Plotly","Python","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
303,"Python","Matplotlib","inkskape",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304,"react-vis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
305,"Excel","Python","Matplotlib","libre office",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
306,"Python",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
307,"D3","Excel","ggplot2","Illustrator","Processing","R","Tableau","Pen & Paper","P5/Processing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
308,"Excel","ggplot2","Illustrator","QGIS","R","Pen & Paper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
309,"D3","ggplot2","Illustrator","QGIS","R","Pen & Paper","Canvas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310,"D3","Excel","ggplot2","Illustrator","Leaflet","Mapbox","QGIS","R","React","Vue","Pen & Paper","Canvas",NA,NA,NA,NA,NA,NA,NA,NA
311,"Excel","ggplot2","R","RawGraphs.io",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
312,"Excel","Mapbox","Tableau","Pen & Paper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
313,"Excel","Power BI","PowerPoint",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
314,"D3","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
315,"Excel","Tableau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
316,"Excel","Plotly","Python","QGIS","Matplotlib",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
317,"Excel","ggplot2","Microstrategy","Plotly","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
318,"Excel","Python","Matplotlib",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
319,"Excel","ggplot2","Highcharts","R","Tableau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
320,"Excel","Canvas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
321,"D3","Excel","Python","Tableau","Bokeh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
322,"D3","ggplot2","Leaflet","Plotly","Python","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
323,"Tableau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
324,"D3","Excel","Illustrator","Power BI","Tableau","Vega",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
325,"ArcGIS","Excel","Illustrator","Mapbox","QGIS","Tableau","Pen & Paper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
326,"ArcGIS","Excel","ggplot2","Plotly","Power BI","Python","R","Matplotlib",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
327,"Excel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
328,"Illustrator","Power BI","Python","Tableau","Canvas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
329,"ggplot2","R","Tableau","Pen & Paper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
330,"Excel","Tableau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
331,"D3","Illustrator","QGIS","React",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
332,"Excel","Power BI","Tableau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
333,"Power BI","Python","Tableau","BO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
334,"D3","Excel","Leaflet","React","Vega",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
335,"D3","Excel","Python","R","Tableau","Pen & Paper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
336,"Excel","Tableau","Pen & Paper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
337,"Excel","Power BI","Tableau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
338,"D3","Excel","Plotly","Python","Vega","Vue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
339,"Power BI","Python",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
340,"Python",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
341,"Excel","Illustrator","Tableau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
342,"D3","Excel","ggplot2","Mapbox","kepler.gl","Power BI","Tableau","Pen & Paper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
343,"Excel","ggplot2","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
344,"Excel","Tableau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
345,"Excel","Tableau","Business Objects",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
346,"Excel","Illustrator","QGIS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
347,"D3","Angular","Python","Canvas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
348,"D3","ggplot2","Illustrator","Leaflet","Mapbox","Python","R","WebGL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
349,"Excel","Power BI","Tableau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
350,"ArcGIS","Excel","Plotly","Power BI","Python","QGIS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
351,"D3","Angular","Highcharts","Mapbox","Python","WebGL","SVG.js",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
352,"ggplot2","Power BI","R","Tableau","Pen & Paper","ggvis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
353,"ArcGIS","Excel","QGIS","Pen & Paper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
