"id","What technologies do you use to visualize data? Select all that apply._01","What technologies do you use to visualize data? Select all that apply._02","What technologies do you use to visualize data? Select all that apply._03","What technologies do you use to visualize data? Select all that apply._04","What technologies do you use to visualize data? Select all that apply._05","What technologies do you use to visualize data? Select all that apply._06","What technologies do you use to visualize data? Select all that apply._07","What technologies do you use to visualize data? Select all that apply._08","What technologies do you use to visualize data? Select all that apply._09","What technologies do you use to visualize data? Select all that apply._10","What technologies do you use to visualize data? Select all that apply._11","What technologies do you use to visualize data? Select all that apply._12","What technologies do you use to visualize data? Select all that apply._13","What technologies do you use to visualize data? Select all that apply._14","What technologies do you use to visualize data? Select all that apply._15","What technologies do you use to visualize data? Select all that apply._16","What technologies do you use to visualize data? Select all that apply._17","What technologies do you use to visualize data? Select all that apply._18","What technologies do you use to visualize data? Select all that apply._19","What technologies do you use to visualize data? Select all that apply._20"
38,"Excel","Tableau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,"Excel","Tableau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,"Tableau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,"ArcGIS","D3","Excel","ggplot2","Highcharts","Leaflet","Mapbox","Plotly","Power BI","Python","QGIS","R","Tableau","Pen & Paper",NA,NA,NA,NA,NA,NA
42,"Excel","ggplot2","Mapbox","QGIS","R","Tableau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,"Power BI","Tableau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,"Python","Tableau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,"Excel","Tableau","Pen & Paper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,"D3","Excel","Illustrator","Mapbox","Tableau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,"Excel","Illustrator","Mapbox","Tableau","Pen & Paper","Other physical materials",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,"Excel","ggplot2","Python","R","Tableau","Matplotlib",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,"ggplot2","Gephi","Highcharts","Leaflet","Plotly","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"Tableau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,"D3","Excel","ggplot2","Illustrator","Mapbox","Plotly","Python","Tableau","WebGL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,"D3","ggplot2","Illustrator","R","Pen & Paper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,"D3","ggplot2","Leaflet","Plotly","Python","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,"D3","Plotly","Python","Vega","Matplotlib",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,"ggplot2","Illustrator","Python","R","Matlab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,"ggplot2","Leaflet","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,"D3","Gephi","Plotly","Python",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,"Excel","Tableau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,"Excel","Power BI","R","Tableau","Pen & Paper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,"Excel","ggplot2","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,"Python","Tableau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
